sb_name,cooper,pomeroy,composite,injury_adjustment,adjusted_composite,rank
Dartmouth,1367.6949,1318.2341,1349.0868,,1349.0868,
Omaha,1349.507,1347.8672,1348.8889,,1348.8889,
Abilene Christian,1335.274,1371.4265,1348.7957,,1348.7957,
Eastern Michigan,1330.895,1374.8264,1347.3406,,1347.3406,
Southern Utah,1335.377,1360.9888,1344.968,,1344.968,
Mount St. Mary's (MD),1365.908,1310.0428,1344.7698,,1344.7698,
Presbyterian,1352.512,1328.8024,1343.7115,,1343.7115,
Milwaukee,1346.9399,1333.1862,1341.7708,,1341.7708,
Central Michigan,1346.559,1327.1866,1339.2787,,1339.2787,
Bethune-Cookman,1319.2371,1370.7865,1338.5304,,1338.5304,
UTEP,1348.99,1313.6084,1335.8141,,1335.8141,
Brown,1364.851,1284.1656,1334.7712,,1334.7712,
Hampton,1334.863,1325.1155,1331.2371,,1331.2371,
North Dakota,1336.782,1320.6846,1330.7299,,1330.7299,
Lamar,1294.59,1378.2366,1326.1683,,1326.1683,
UC Riverside,1310.781,1350.5215,1325.6016,,1325.6016,
Lindenwood,1322.469,1328.5033,1324.748,,1324.748,
Lehigh,1339.4189,1299.5315,1324.5978,0,1324.5978,16b
Bellarmine,1320.52,1330.9375,1324.4064,,1324.4064,
Pepperdine,1313.675,1342.0626,1324.2111,,1324.2111,
Incarnate Word,1311.356,1342.3674,1323.0194,,1323.0194,
UNC Greensboro,1348.9821,1272.1227,1320.2775,,1320.2775,
Ball St.,1340.516,1280.7015,1318.1803,,1318.1803,
Idaho St.,1282.8621,1368.3846,1314.8519,,1314.8519,
Sacred Heart,1332.7061,1283.422,1314.179,,1314.179,
Western Michigan,1305.59,1326.8186,1313.5923,,1313.5923,
Morehead St.,1314.2791,1307.9686,1311.9128,,1311.9128,
Chattanooga,1327.281,1269.5591,1305.776,,1305.776,
Northeastern,1309.1591,1299.0758,1305.3698,,1305.3698,
Mercyhurst,1308.951,1294.1899,1303.4712,,1303.4712,
South Dakota,1293.425,1300.5789,1296.1068,,1296.1068,
Jacksonville,1299.407,1283.4744,1293.475,,1293.475,
Northwestern St.,1287.319,1302.9857,1293.2676,,1293.2676,
Delaware,1293.35,1289.1512,1291.8058,,1291.8058,
Southern,1278.8929,1310.2443,1290.671,,1290.671,
Sacramento St.,1261.359,1338.611,1290.5951,,1290.5951,
North Carolina A&T,1285.261,1289.9277,1287.0117,,1287.0117,
Central Connecticut,1289.074,1262.0817,1278.9197,,1278.9197,
SE Louisiana,1267.035,1295.259,1277.6299,,1277.6299,
Prairie View A&M,1266.9821,1287.9584,1274.9625,0,1274.9625,
Eastern Kentucky,1261.266,1283.3943,1269.496,,1269.496,
West Georgia,1272.12,1256.2007,1266.1384,,1266.1384,
Wagner,1269.576,1258.381,1265.3535,,1265.3535,
Evansville,1272.703,1251.8317,1264.8805,,1264.8805,
Houston Christian,1246.127,1289.4254,1262.5056,,1262.5056,
Stetson,1249.647,1262.5785,1254.5001,,1254.5001,
UMass Lowell,1275.8,1217.0616,1253.7483,,1253.7483,
Le Moyne,1243.993,1269.615,1253.6162,,1253.6162,
South Carolina Upstate,1251.475,1256.1024,1253.2053,,1253.2053,
Louisiana (Lafayette),1251.949,1246.5411,1249.9281,,1249.9281,
East Texas A&M,1223.947,1288.1005,1248.1229,,1248.1229,
Albany,1263.731,1220.0182,1247.3032,,1247.3032,
Little Rock,1241.0129,1251.7045,1245.0415,,1245.0415,
Oral Roberts,1241.1639,1251.1309,1244.9021,,1244.9021,
Loyola Maryland,1253.318,1219.1865,1240.5488,,1240.5488,
Tennessee Tech,1236.4399,1245.6366,1239.8966,,1239.8966,
Georgia St.,1234.093,1244.8813,1238.1146,,1238.1146,
Cleveland St.,1229,1229.2915,1229.11,,1229.11,
IU Indy,1224.674,1231.3372,1227.1812,,1227.1812,
