Team,Games Played
Houston,2.665
Auburn,2.5099
Duke,2.492
Florida,2.4555
Alabama,2.1077
Mich. St.,2.0922
Tennessee,2.0868
Texas Tech,2.0631
Maryland,1.5826
Ole Miss,1.4661
Arizona,1.4627
Kentucky,1.4562
BYU,1.4448
Michigan,1.42
Arkansas,1.4106
Purdue,1.2848
